Date, Open, High, Low, Close
11/23/21, 419.38, 432.14, 432.14, 432.14
11/22/21, 411.91, 419.38, 419.38, 419.38
11/19/21, 428.66, 411.91, 411.91, 411.91
11/18/21, 430.97, 428.66, 428.66, 428.66
11/17/21, 438.62, 430.97, 430.97, 430.97
11/16/21, 438.21, 438.62, 438.62, 438.62
11/15/21, 434.60, 438.21, 438.21, 438.21
11/12/21, 435.73, 434.60, 434.60, 434.60
11/11/21, 434.38, 435.73, 435.73, 435.73
11/10/21, 447.67, 434.38, 434.38, 434.38
11/09/21, 445.91, 447.67, 447.67, 447.67
11/08/21, 442.00, 445.91, 445.91, 445.91
11/05/21, 435.83, 442.00, 442.00, 442.00
11/04/21, 434.99, 435.83, 435.83, 435.83
11/03/21, 438.65, 434.99, 434.99, 434.99
11/02/21, 443.11, 438.65, 438.65, 438.65
11/01/21, 436.19, 443.11, 443.11, 443.11
10/29/21, 439.12, 436.19, 436.19, 436.19
10/28/21, 436.10, 439.12, 439.12, 439.12
10/27/21, 448.94, 436.10, 436.10, 436.10
10/26/21, 445.91, 448.94, 448.94, 448.94
10/25/21, 439.56, 445.91, 445.91, 445.91
10/22/21, 435.50, 439.56, 439.56, 439.56
10/21/21, 443.53, 435.50, 435.50, 435.50
10/20/21, 439.87, 443.53, 443.53, 443.53
10/19/21, 434.89, 439.87, 439.87, 439.87
10/18/21, 434.44, 434.89, 434.89, 434.89
10/15/21, 432.43, 434.44, 434.44, 434.44
10/14/21, 427.19, 432.43, 432.43, 432.43
10/13/21, 427.60, 427.19, 427.19, 427.19
10/12/21, 427.71, 427.60, 427.60, 427.60
10/11/21, 429.46, 427.71, 427.71, 427.71
10/08/21, 416.45, 429.46, 429.46, 429.46
10/07/21, 413.60, 416.45, 416.45, 416.45
10/06/21, 418.00, 413.60, 413.60, 413.60
10/05/21, 415.60, 418.00, 418.00, 418.00
10/04/21, 408.94, 415.60, 415.60, 415.60
10/01/21, 395.88, 408.94, 408.94, 408.94
09/30/21, 401.66, 395.88, 395.88, 395.88
09/29/21, 401.67, 401.66, 401.66, 401.66
09/28/21, 399.83, 401.67, 401.67, 401.67
09/27/21, 386.57, 399.83, 399.83, 399.83
09/24/21, 383.35, 386.57, 386.57, 386.57
09/23/21, 370.71, 383.35, 383.35, 383.35
09/22/21, 359.34, 370.71, 370.71, 370.71
09/21/21, 358.00, 359.34, 359.34, 359.34
09/20/21, 369.23, 358.00, 358.00, 358.00
09/17/21, 372.04, 369.23, 369.23, 369.23
09/16/21, 376.02, 372.04, 372.04, 372.04
09/15/21, 362.20, 376.02, 376.02, 376.02
09/14/21, 367.90, 362.20, 362.20, 362.20
09/13/21, 357.39, 367.90, 367.90, 367.90
09/10/21, 357.55, 357.39, 357.39, 357.39
09/09/21, 357.11, 357.55, 357.55, 357.55
09/08/21, 361.80, 357.11, 357.11, 357.11
09/07/21, 363.88, 361.80, 361.80, 361.80
09/03/21, 365.82, 363.88, 363.88, 363.88
09/02/21, 356.80, 365.82, 365.82, 365.82
09/01/21, 362.26, 356.80, 356.80, 356.80
08/31/21, 364.92, 362.26, 362.26, 362.26
08/30/21, 369.21, 364.92, 364.92, 364.92
08/27/21, 359.77, 369.21, 369.21, 369.21
08/26/21, 365.28, 359.77, 359.77, 359.77
08/25/21, 362.68, 365.28, 365.28, 365.28
08/24/21, 356.92, 362.68, 362.68, 362.68
08/23/21, 343.95, 356.92, 356.92, 356.92
08/20/21, 342.99, 343.95, 343.95, 343.95
08/19/21, 352.34, 342.99, 342.99, 342.99
08/18/21, 361.00, 352.34, 352.34, 352.34
08/17/21, 364.35, 361.00, 361.00, 361.00
08/16/21, 371.14, 364.35, 364.35, 364.35
08/13/21, 375.97, 371.14, 371.14, 371.14
08/12/21, 377.82, 375.97, 375.97, 375.97
08/11/21, 375.00, 377.82, 377.82, 377.82
08/10/21, 368.66, 375.00, 375.00, 375.00
08/09/21, 374.19, 368.66, 368.66, 368.66
08/06/21, 370.75, 374.19, 374.19, 374.19
08/05/21, 366.06, 370.75, 370.75, 370.75
08/04/21, 377.11, 366.06, 366.06, 366.06
08/03/21, 370.33, 377.11, 377.11, 377.11
08/02/21, 372.99, 370.33, 370.33, 370.33
07/30/21, 379.67, 372.99, 372.99, 372.99
07/29/21, 376.15, 379.67, 379.67, 379.67
07/28/21, 372.54, 376.15, 376.15, 376.15
07/27/21, 376.34, 372.54, 372.54, 372.54
07/26/21, 367.17, 376.34, 376.34, 376.34
07/23/21, 368.77, 367.17, 367.17, 367.17
07/22/21, 372.98, 368.77, 368.77, 368.77
07/21/21, 360.26, 372.98, 372.98, 372.98
07/20/21, 355.36, 360.26, 360.26, 360.26
07/19/21, 368.60, 355.36, 355.36, 355.36
07/16/21, 379.08, 368.60, 368.60, 368.60
07/15/21, 384.51, 379.08, 379.08, 379.08
07/14/21, 396.15, 384.51, 384.51, 384.51
07/13/21, 398.98, 396.15, 396.15, 396.15
07/12/21, 399.42, 398.98, 398.98, 398.98
07/09/21, 391.55, 399.42, 399.42, 399.42
07/08/21, 393.37, 391.55, 391.55, 391.55
07/07/21, 400.28, 393.37, 393.37, 393.37
07/06/21, 413.52, 400.28, 400.28, 400.28
07/02/21, 414.36, 413.52, 413.52, 413.52
07/01/21, 407.37, 414.36, 414.36, 414.36
06/30/21, 402.10, 407.37, 407.37, 407.37
06/29/21, 404.13, 402.10, 402.10, 402.10
06/28/21, 418.03, 404.13, 404.13, 404.13
06/25/21, 416.07, 418.03, 418.03, 418.03
06/24/21, 412.55, 416.07, 416.07, 416.07
06/23/21, 411.46, 412.55, 412.55, 412.55
06/22/21, 408.73, 411.46, 411.46, 411.46
06/21/21, 391.92, 408.73, 408.73, 408.73
06/18/21, 403.71, 391.92, 391.92, 391.92
06/17/21, 418.31, 403.71, 403.71, 403.71
06/16/21, 420.34, 418.31, 418.31, 418.31
06/15/21, 411.85, 420.34, 420.34, 420.34
06/14/21, 413.47, 411.85, 411.85, 411.85
06/11/21, 415.02, 413.47, 413.47, 413.47
06/10/21, 415.56, 415.02, 415.02, 415.02
06/09/21, 417.89, 415.56, 415.56, 415.56
06/08/21, 414.25, 417.89, 417.89, 417.89
06/07/21, 415.85, 414.25, 414.25, 414.25
06/04/21, 413.47, 415.85, 415.85, 415.85
06/03/21, 412.19, 413.47, 413.47, 413.47
06/02/21, 405.14, 412.19, 412.19, 412.19
06/01/21, 389.82, 405.14, 405.14, 405.14
05/28/21, 389.54, 389.82, 389.82, 389.82
05/27/21, 389.32, 389.54, 389.54, 389.54
05/26/21, 385.73, 389.32, 389.32, 389.32
05/25/21, 393.76, 385.73, 385.73, 385.73
05/24/21, 389.91, 393.76, 393.76, 393.76
05/21/21, 389.17, 389.91, 389.91, 389.91
05/20/21, 389.63, 389.17, 389.17, 389.17
05/19/21, 399.72, 389.63, 389.63, 389.63
05/18/21, 410.53, 399.72, 399.72, 399.72
05/17/21, 401.29, 410.53, 410.53, 410.53
05/14/21, 389.01, 401.29, 401.29, 401.29
